0,7.2E-05
0.05,0.091834
0.1,11.99966
0.15,35.060922
0.2,57.130389
0.25,79.213809
0.3,101.307489
0.25,123.40616
0.4,145.507604
0.45,167.610741
0.5,189.714986
0.55,211.819993
0.6,233.925547
0.64,256.031505
0.7,278.137772
0.75,300.244279
0.8,322.350976
0.85,344.457826
0.9,366.564802
0.95,388.671882
1,410.779049
1.05,432.88629
1.1,454.993594
1.15,477.100952
1.2,499.208356
1.25,521.315802
1.3,543.423283
1.35,565.530796
1.4,587.638337
1.45,609.745903
1.5,631.853492
1.55,653.9611
1.6,676.068726
1.65,698.176369
1.7,720.284027
1.75,742.391698
1.8,764.499381
1.85,786.607076
1.9,808.714781
1.95,830.822495
2,852.930219
2.05,875.03795
2.1,897.145689
2.15,919.253435
2.3,985.576709
2.35,1007.684478
2.4,1029.792252
2.45,1051.901244
2.5,1076.013124
2.55,1093.373416
2.6,1114.970802
2.65,1143.769689
2.7,1166.18288
2.75,1188.55157
2.8,1202.024708
2.85,1223.878892
2.9,1245.755396
2.95,1267.650081
3,1300.63589
3.05,1323.228474
K, 0.500000, ||x||, 198.357879
K, 0.500000, ||x||, 198.353393
K, 0.500000, ||x||, 198.357879
